genre,file,centroid_mean,bandwidth_mean,zcr_mean,rms_mean,centroid_std,bandwidth_std,zcr_std,rms_std,mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13,dwt_energy_1,dwt_std_1,dwt_zcr_1,dwt_entropy_1,dwt_energy_2,dwt_std_2,dwt_zcr_2,dwt_entropy_2,dwt_energy_3,dwt_std_3,dwt_zcr_3,dwt_entropy_3,dwt_energy_4,dwt_std_4,dwt_zcr_4,dwt_entropy_4,dwt_energy_5,dwt_std_5,dwt_zcr_5,dwt_entropy_5,dwt_energy_6,dwt_std_6,dwt_zcr_6,dwt_entropy_6
blues,blues.00000.wav_seg1,1778.8404173340034,1976.2651099774844,0.0839527271412037,0.12417065,376.244854309464,320.168066199977,0.028721393625426594,0.05296031,-119.2176,47.69207,124.33833,15.851043,-22.83879,18.135267,42.07474,12.571446,-7.011255,12.299232,19.98726,8.611058,-16.026869,7.795318,17.884808,8.957,-12.553806,9.124363,12.362545,9.500472,-9.089807,7.8658752,8.994222,6.5849614,-5.61132,5.3830304,0.23203115,0.48169565,0.5259345117357288,11.228208,0.17934264,0.42348865,0.5415821501014199,11.059478,0.05600739,0.23665875,0.5973027842227379,12.001955,0.011499597,0.10723607,0.6267227622225446,13.126589,0.001500051,0.038730294,0.6901617935137488,14.157741,0.00021338995,0.014607873,0.6965370870898108,14.945596
blues,blues.00000.wav_seg2,1787.5846886594097,2067.950594306449,0.07575819227430555,0.12423045,303.21251238145413,250.00478279043392,0.024075798772880932,0.05913134,-131.97366,54.998882,116.72763,14.322319,-14.334999,12.597033,48.22651,14.148325,-4.4496317,11.970784,22.281645,9.45424,-12.086848,9.018481,16.22064,7.290221,-12.886714,9.599653,11.774044,6.4875464,-9.12155,6.9820013,10.100367,6.8845863,-3.1729584,7.154559,0.24851213,0.4985078,0.45407128368588817,11.219417,0.22676654,0.47611898,0.5911330049261084,10.89749,0.04014815,0.20036878,0.5848317865429234,11.872965,0.009450034,0.09720987,0.5900913970694908,13.054592,0.0016069867,0.040087227,0.6879851991583835,14.105145,0.0001887756,0.013739563,0.7031944419250096,15.000246
blues,blues.00000.wav_seg3,1636.4979270373017,1949.962535088124,0.06969762731481481,0.14102963,314.9580274824265,267.648131803045,0.01722646469204681,0.045511015,-109.01067,49.479015,134.20502,17.218147,-19.396326,12.502063,40.78598,10.897785,-13.618481,11.473545,19.156937,9.76526,-15.285107,8.043774,18.742409,8.012938,-16.043495,9.865121,13.726625,7.3881526,-8.986562,8.328487,13.695174,7.8316216,-6.356454,6.552647,0.27984732,0.52900594,0.4749348015068096,11.281914,0.23560812,0.48538262,0.5641842944074181,11.137091,0.06677193,0.25840265,0.6399361948955916,12.042013,0.010304998,0.10151334,0.6246917162338604,13.106376,0.0015003582,0.03873439,0.6794602045998694,14.116079,0.00018817394,0.01371765,0.7102690151831226,15.035513
blues,blues.00000.wav_seg4,1969.6194695526892,2138.5344726506623,0.09285707826967593,0.12878893,451.884223887877,298.9161382192019,0.03528425143359728,0.059667177,-102.70253,51.00457,113.554344,19.988918,-16.050467,13.778344,43.88332,12.11556,-10.231323,10.864237,19.806755,9.899071,-13.157464,7.6555867,15.959663,7.8850365,-12.077663,7.7253313,13.226044,6.8719497,-8.918767,8.253523,9.763462,6.0177135,-4.7577434,6.301787,0.26606512,0.51581496,0.47435525934511735,11.202938,0.21532892,0.46402535,0.5807012460156477,10.950613,0.05171169,0.2273998,0.6046983758700696,11.9021015,0.010878411,0.10429785,0.589511098215581,13.021923,0.0020219472,0.044965785,0.6541028803598636,14.122185,0.0003043969,0.017446974,0.7197924791844287,15.040669
blues,blues.00000.wav_seg5,1764.3217907370984,2007.297723261987,0.07393165870949074,0.14057882,339.05973431313413,287.5516074380166,0.01720866972947852,0.050586283,-107.959145,45.16101,125.16278,15.403529,-20.68939,16.60909,41.46085,10.6812105,-11.114463,13.761885,19.340414,9.070854,-16.555958,8.110011,16.617079,9.051672,-17.412354,8.65963,12.036804,7.2884626,-9.529567,7.3697944,10.623501,6.768619,-5.4911556,6.6518364,0.26089966,0.51078326,0.5236163430889598,11.248265,0.27209663,0.52098536,0.5566502463054187,11.134081,0.06229937,0.24959214,0.6091937354988399,12.079586,0.01063896,0.1031412,0.6246917162338604,13.159151,0.001674447,0.040920004,0.6860262642385547,14.149637,0.00022615962,0.015038605,0.7072033667712736,15.0374565
blues,blues.00000.wav_seg6,1773.5661051883242,1884.179204638304,0.09930645978009259,0.12009954,267.8996372047958,256.7570762770277,0.02539381719819468,0.045764156,-119.3285,50.88464,126.34722,14.535462,-32.383793,13.440207,48.311714,10.586105,-2.4439335,12.43322,21.541277,8.799275,-19.337399,7.0398817,16.509975,8.205939,-12.521235,7.411748,11.894658,9.018265,-13.347184,7.5630107,8.289875,7.3823814,-4.8756523,5.8243146,0.23530525,0.4850823,0.48333816285134745,11.19495,0.118957184,0.34490168,0.5850478122283396,11.148873,0.038813937,0.19700414,0.5372679814385151,12.074969,0.019064099,0.1380727,0.587189902799942,13.178044,0.0026406534,0.051387202,0.7228107088442284,14.147069,0.0001659706,0.012882957,0.6770729406642843,15.034929
blues,blues.00001.wav_seg1,1440.2238263268255,2046.6217068724611,0.04531295211226852,0.09657826,608.7361172743722,425.5205885785752,0.03494504491694747,0.052253142,-231.11064,108.67016,117.29235,19.620312,13.84436,23.806824,40.62557,15.469449,6.7193255,17.521364,23.114822,9.637504,-7.070031,18.946898,25.749584,10.0109,-7.358057,15.263108,11.780967,10.949496,-1.463972,9.429604,10.752819,7.4092765,-1.192076,8.176063,0.23389967,0.48363143,0.3697478991596639,11.096468,0.0980986,0.31319922,0.6006954505940307,10.541668,0.015061864,0.12272615,0.6371809744779582,11.491592,0.0039727427,0.0630297,0.5766719860728275,12.301526,0.0008671946,0.02944809,0.642095334832765,13.309374,0.0001494947,0.012226803,0.71193788887478,14.452287
blues,blues.00001.wav_seg2,1292.4739119544813,1645.1072876717897,0.06477864583333333,0.091551006,444.5316872712545,426.20094712730446,0.04121185135660939,0.04391715,-214.72374,83.340225,147.9882,21.151463,-15.887496,35.210083,40.238018,14.461303,6.240106,13.32474,15.093048,13.884854,-7.4458475,10.353044,21.570204,9.974328,-5.1373262,9.5802355,10.945379,9.678927,-6.306827,7.348225,4.434396,9.4705515,-3.7900436,8.056638,0.22230141,0.47148708,0.4856563314981165,11.113806,0.04059502,0.2014797,0.5780933062880325,11.045741,0.015460451,0.12433799,0.6000580046403712,11.950972,0.0068613547,0.08282833,0.6223705208182214,12.740882,0.0013507109,0.036751997,0.7074294420663135,13.537557,7.3660565e-05,0.008582573,0.6443666442940845,14.548357
blues,blues.00001.wav_seg3,1660.7181118176356,2070.2935297813565,0.06361219618055555,0.08648166,796.2553848432121,483.5762455782702,0.04658422035712825,0.048341934,-212.95233,88.77062,126.46269,25.51069,1.6083391,16.939837,32.909718,19.192768,-1.7770581,12.847744,28.51809,11.933744,-15.170215,16.514996,24.198048,14.295751,-14.98615,12.747638,14.605842,9.966357,-0.90706855,10.093858,13.502224,10.257617,-5.2416143,8.430267,0.17794883,0.4218397,0.41756012749927557,11.05282,0.068079785,0.2607718,0.5482468849608809,10.8323765,0.027119756,0.16466801,0.6651682134570766,11.620367,0.0025473207,0.050470922,0.6469606847526476,12.806556,0.00029975333,0.017313384,0.6231226873684974,13.854116,0.00021662135,0.014718062,0.715584015092423,14.398734
blues,blues.00001.wav_seg4,1507.9501198807982,2189.5354720500527,0.04167344835069445,0.08871089,493.97450352677373,412.51459642885254,0.017743279324418826,0.04217274,-230.78615,78.20326,121.86737,21.870157,20.93259,13.41933,44.353886,16.344736,0.46925616,17.989336,26.904861,12.192027,-10.686334,10.71662,26.035742,9.7899275,-14.525542,11.458425,15.475037,10.463823,-15.175251,9.306224,5.0204797,8.386292,-0.76689035,7.8916464,0.24661626,0.4966009,0.431758910460736,11.139987,0.047222167,0.2173058,0.6705302810779484,10.916489,0.006951229,0.08337403,0.6200696055684455,11.659632,0.00081794965,0.028599774,0.6225155955316988,12.875977,0.00020986795,0.014486664,0.6174635420445477,13.850029,0.00011468358,0.010709042,0.7032670016507337,14.664129
