genre,centroid,bandwidth,zcr,rms
blues,4366.656187601634,1823.2084827694407,0.3437848254422854,0.03093006096
classical,3803.4093353433736,1881.794551325903,0.2718618372854337,0.0082547715471
country,4459.412065373039,2074.161016420043,0.3284568518582907,0.029135583192999998
disco,4920.503254627067,2156.710041022145,0.3840954534095728,0.04245510432
hiphop,5007.870972731067,2160.891671734232,0.39501834447771633,0.043050036550000004
jazz,4451.1907282674965,2027.265099994396,0.3364860812862644,0.0173260682969697
metal,4371.934928843688,1798.5306328298839,0.3490268739728345,0.060709266399999996
pop,5769.561301719238,2599.6578356768155,0.45152392464834684,0.057985694306
reggae,4816.341781667067,2122.4725253942074,0.36902475922032096,0.02915586003
rock,4598.901980367259,2036.373260200635,0.3534746271086648,0.03595240154
