genre,centroid,bandwidth,zcr,rms
blues,574.9639566478436,522.3330024809395,0.03955461046258696,0.12834008954
classical,699.2245549692931,519.3169087300736,0.058373041793705394,0.040600015644
country,619.7235909384258,548.6315182116766,0.043100239419884716,0.11923822645
disco,714.2817209898079,596.7304167798611,0.051864573675645426,0.1248099284
hiphop,616.243483066209,573.5997124450331,0.03783203887517197,0.16801459001000002
jazz,615.0343154115874,525.2800426117467,0.044095175613434526,0.08166378536363636
metal,729.9849346885838,658.3803960517855,0.047938901778808926,0.1352263816
pop,657.6252029888753,569.9943705782345,0.044964139839520446,0.18471459887000002
reggae,597.7834324534487,557.2499985024432,0.0384343505292923,0.11414547964
rock,685.2007315370846,584.5420813817198,0.04900969768873737,0.11780777936
