genre,centroid,bandwidth,zcr,rms
blues,1727.6311533200635,1931.391725537416,0.07896919409802779,0.13599684093
classical,1354.0591037283846,1521.969151277194,0.0776108250785766,0.042898870531
country,1896.3351673647994,2099.625118731384,0.08340019549590057,0.12592411085
disco,2619.9687223564993,2513.384998099903,0.1293672530190472,0.13621852807
hiphop,2524.611712380509,2513.5331530906446,0.10797655400070032,0.17826133128
jazz,1793.7300847333152,2020.2274371328813,0.07709367693139209,0.08583831892929293
metal,2602.2567987006164,2242.6055605139454,0.14746276147404289,0.15338556177999998
pop,3073.634783413187,3008.256573563385,0.1335614509316995,0.19960877067
reggae,2185.18008417503,2311.5929639942037,0.09156257175053167,0.12242930892000001
rock,2242.696691186753,2262.8273808961894,0.10924109188668191,0.12725299453
